first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,,,,,,Rank,Value,,,
Isak,Bergstram,Male,14,2001-03-08,21,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,1.03,1.2875,1.609375,1.609375,#REF!,142,1.23515625,-0.01996918448,-0.07201216917,-0.03418292439
Giulietta,Garbott,Female,59,2002-02-27,21,Technical Writer,n/a,Affluent Customer,N,Yes,14,48297 Stuart Circle,3810,VIC,Australia,5,0.92,1.15,1.15,1.15,#REF!,355,0.984375,,,
Lura,Fawdrie,Female,66,2002-01-17,21,VP Sales,Health,Mass Customer,N,Yes,4,67183 Anniversary Parkway,4211,QLD,Australia,3,0.42,0.525,0.525,0.44625,#REF!,396,0.9375,,,
Moina,Rosenbaum,Female,50,2001-08-04,21,Graphic Designer,IT,Mass Customer,N,No,14,0 Memorial Road,3109,VIC,Australia,10,1.06,1.06,1.325,1.12625,#REF!,468,0.88984375,,,
Tomkin,Bernlin,Male,7,2001-12-29,21,Food Chemist,Health,Affluent Customer,N,Yes,9,0492 Kings Street,2480,NSW,Australia,3,0.79,0.9875,0.9875,0.9875,#REF!,475,0.881875,,,
Isa,Fominov,Male,75,2001-06-21,21,Physical Therapy Assistant,n/a,Mass Customer,N,Yes,5,80388 Ryan Place,2010,NSW,Australia,9,0.64,0.8,1,0.85,#REF!,515,0.839375,,,
Ailyn,Howgate,Female,66,2001-09-27,21,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,2,197 Northport Plaza,4213,QLD,Australia,7,0.48,0.6,0.6,0.51,#REF!,568,0.8,,,
Tomaso,Horsley,Male,97,2001-04-16,21,Junior Executive,Financial Services,Mass Customer,N,Yes,10,70360 Onsgard Plaza,3977,VIC,Australia,6,0.82,1.025,1.28125,1.0890625,#REF!,741,0.65875,,,
Simmonds,Bapty,Male,52,2002-01-04,21,Junior Executive,Financial Services,Affluent Customer,N,No,8,47 Susan Park,2025,NSW,Australia,12,0.79,0.79,0.9875,0.9875,#REF!,760,0.6375,,,
Melosa,McOwan,Female,25,2001-04-17,21,Compensation Analyst,Financial Services,Mass Customer,N,No,12,900 Victoria Way,2211,NSW,Australia,9,0.71,0.71,0.8875,0.754375,#REF!,843,0.5695,,,
Burk,Wortley,Male,22,2001-10-17,21,Senior Sales Associate,Health,Mass Customer,N,No,6,04 Union Crossing,2196,NSW,Australia,10,0.72,0.72,0.9,0.765,#REF!,997,0.357,,,
Evangelin,Boc,Female,30,2000-05-09,22,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,0.5,0.625,0.625,0.625,#REF!,99,1.296875,,,
Kippy,Barabisch,Male,11,2000-04-07,22,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,0.6,0.6,0.75,0.6375,#REF!,215,1.12890625,,,
Hersh,Stubbert,Male,0,2000-06-25,22,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,0.88,1.1,1.1,0.935,#REF!,226,1.1125,,,
Tanya,Hamberston,Female,45,2000-09-25,22,Product Engineer,n/a,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,0.6,0.75,0.75,0.6375,#REF!,259,1.0625,,,
Norah,Mapis,Female,75,2000-12-09,22,Assistant Manager,Argiculture,Mass Customer,N,No,10,057 Victoria Crossing,2263,NSW,Australia,9,0.9,0.9,1.125,0.95625,#REF!,468,0.88984375,,,
Rand,Winchcum,Male,34,2000-04-10,22,Software Consultant,n/a,Affluent Customer,N,No,3,4594 Jackson Hill,2146,NSW,Australia,7,0.9,0.9,0.9,0.9,#REF!,810,0.5875,,,
Cristie,Bence,Female,49,2000-04-17,22,Automation Specialist II,n/a,High Net Worth,N,No,9,3413 Schmedeman Court,4122,QLD,Australia,8,0.56,0.56,0.56,0.56,#REF!,828,0.58,,,
Kissie,Line,Female,2,2000-05-20,22,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,7,629 Grasskamp Junction,2200,NSW,Australia,9,0.94,1.175,1.46875,1.46875,#REF!,862,0.5525,,,
